comments,No.,Name,Location,Country,Lat,Long,Organisation,Ecosystem,Status,Year validated/verified,Intended duration (years),Size/area (ha),Standard,Methodology,Annual credits (t CO2e),"Status of ecosystem 
before intervention",Intervention planned,Intervention goal,Proof of additionality,"On-site monitoring
(measurements, frequency, modelling?)",Inclusion of avoided emissions,Impact on carbon sequestration,Suggested carbon storage duration,Reporting obligations,Risk management,Consideration of leakage,Fulfilment of the NbS criteria,Financing instrument,Registry entry,Website link,Unnamed: 30,registryID,projectID,latitude,longitude,latReading,lonReading,projectLink,Project Name
,1,Manglares Ursulo Galvan,Tabasco,Mexico,18.3704191614549,-93.0296712683508,Ejido Ursulo Galvan,Mangrove,Accredited,2022,,1200,Climate Action Reserve,Mx Forest Protocol,,,,,,,,,,,,,,,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1429,https://www.facebook.com/loriapalm/, https://www.equatorinitiative.org/2017/05/28/fundacion-san-crisanto-san-crisanto-foundation/,1429,CAR1429,,,,,https://thereserve2.apx.com/mymodule/reg/TabDocuments.asp?r=111&ad=Prpt&act=update&type=PRO&aProj=pub&tablename=doc&id1=1429,Manglares Ursulo Galvan
,2,Manglares San Crisanto,Yucatan,Mexico,21.3420195996914,-89.1885272868853,Ejido San Crisanto,Mangrove,Accredited,2022,,850,Climate Action Reserve,Mx Forest Protocol,,,,,,,,,,,,,,,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1428,https://www.facebook.com/loriapalm/, https://www.equatorinitiative.org/2017/05/28/fundacion-san-crisanto-san-crisanto-foundation/,1428,CAR1428,,,,,https://thereserve2.apx.com/mymodule/reg/TabDocuments.asp?r=111&ad=Prpt&act=update&type=PRO&aProj=pub&tablename=doc&id1=1428,Manglares San Crisanto
,3,Vida Manglar,"Cispata, Gulf of Morrosquillo",Colombia,9.36673954458163,-75.8791787686271,Conservation International,Mangrove,Accredited,2021,30,7561,"Verra VCS, Verra CCB",VM0007,31310,Mangrove logging,"(i) strengthening of governance, (ii) alternative productive projects, (iii) recovery and rehabilitation of mangrove areas, (iv) monitoring","1) Conservation and sustainable management of the mangrove ecosystem, marshes, and associated streams.
4.1.3
2) Strengthening local governance and management of protected marine-coastal areas at the regional level.
3.1.5
3) Maintenance and promotion of sustainable community management practices of mangrove forests and increased perception of the value of forest resources
2.1.1
4) Economic empowerment of community groups and increased job opportunities.
4
5) Habitat protection for three species of fauna that have a significant threat category, rescue, rehabilitation and release activities, and identification of methods for their follow-up and monitoring.",,,Yes,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/2290,https://www.conservation.org/press-releases/2021/05/06/a-new-lifeline-for-the-world%E2%80%99s-mangrove-forests,,2290,VCS2290,9.324177,-75.725577,9.36673954458163,-75.8791787686271,https://registry.verra.org/uiapi/resource/resourceSummary/2290,BLUE CARBON PROJECT GULF OF MORROSQUILLO “VIDA MANGLAR”
,4,Livelihoods Senegal,Casamance,Senegal,14.5502832558067,-14.9404893086289,Livelihoods Fund,Mangrove,Accredited,2014,,10415,Verra VCS,AR-AM0014,30000,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/1318,https://livelihoods.eu/portfolio/oceanium-senegal/,,1318,VCS1318,12.875583,-16.354489,14.5502832558067,-14.9404893086289,https://registry.verra.org/uiapi/resource/resourceSummary/1318,Livelihoods' mangrove restoration grouped project in Senegal
,5,Community-based avoided deforestation project in Guinea-Bissau,Cacheu,Guinea-Bissau,12.310658,-16.190328,BioGuinea Foundation,Mangrove,Accredited,2020,,145698,Verra VCS,VM0007,920436,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/2324,,,2324,VCS2324,12.310658,-16.190328,,,https://registry.verra.org/uiapi/resource/resourceSummary/2324,COMMUNITY BASED AVOIDED DEFORESTATION PROJECT IN GUINEA-BISSAU - REDD
,6,Vanga,Gazi Bay,Kenya,-4.61762,39.254377,"ACES - Association for Ecosystem Services, UK",Mangrove,Accredited,2019,,460,Plan Vivo,Custom,6702,,,,,,,,,,,,,,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000026945,https://www.planvivo.org/vanga,,104000000026945,,,,,,,
,7,Mikoko Pamoja,Gazi Bay,Kenya,-4.414875,39.522913,"ACES - Association for Ecosystem Services, UK",Mangrove,Accredited,2013/2018,,117,Plan Vivo,Custom,2500,,,,,,,,,,,,,,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000008881,https://www.planvivo.org/mikoko-pamoja,,103000000008881,,,,,,,
,8,Tahiri Honko, ,Madagascar,-22.193425,43.277966,Blue Ventures,Mangrove,Accredited,2018,,1230,Plan Vivo,Custom,1371,,,,,,,,,,,,,,,https://blueventures.org/tag/tahiry-honko/,,<NA>,,,,,,,
,22,MarVivo,Baja California Sur,Mexico,24.651593,-112.006798,MarVivo Corporation,Mangrove,Undergoing validation,,,159000," Verra VCS, Verra CCB, SD VISta",,,,,,,,,,,,,,,,,https://marvivo.earth/; https://www.carbonstreaming.com/project/magdalena-bay-blue-carbon/,,<NA>,,,,,,,
,28,Restoration and protection of mangroves and Blue Carbon ecosystems in North Yucatan,Yucatan,Mexico,21.264704,-89.672853,"CINVESTAV, SCTS",Mangrove,Undergoing validation,,,1542,Plan Vivo,,,,,,,,,,,,,,,,,,,<NA>,,,,,,,
,29,Taab Che,Yucatan,Mexico,20.460203,-86.894525,Resiliencia Azul,Mangrove,Undergoing validation,,,10079,Plan Vivo,,,,,,,,,,,,,,,,,,,<NA>,,,,,,,
,31,Restoration of mangroves removed for shrimp farms and firewood in the Gulf of Fonseca,Gulf of Fonseca,Honduras,13.367741,-87.611087,"CMR, CODDEFFAGOLF",Mangrove,Undergoing validation,,,1548,Plan Vivo,,,,,,,,,,,,,,,,,,,<NA>,,,,,,,
changed name as in website https://www.planvivo.org/pipeline,37,PES in the Manoka Community Forest ,Manuka,Cameroon,3.924703,9.594748,Cameroon Ecology and CIFOR,Mangrove,Undergoing validation,,,2700,Plan Vivo,,,,,,,,,,,,,,,,,,,<NA>,,,,,,,
,38,Mikoko Ujamaa,,Tanzania,-6.873328,39.285613,Women Against Poverty,Mangrove,Undergoing validation,,,1426,Plan Vivo,,,,,,,,,,,,,,,,,,,<NA>,,,,,,,
changed name as in website https://www.planvivo.org/pipeline,48,Restoration of Abandoned or Under-Utilised Shrimp Farms to Mangroves on Village Owned Land in South East Sulawesi,SE Sulawesi,Indonesia,-4.502546,122.342313,Yayasan Bunga Bakau Indonesia,Mangrove,Undergoing validation,,,4500,Plan Vivo,,,,,,,,,,,,,,,,,,,<NA>,,,,,,,
,9,Delta Blue Carbon - 1,Indus Delta,Pakistan,24.1048007231086,67.7629322470639,Indus Delta Capital,Mangrove,Accredited,2021/2022,,350000,"Verra VCS, Verra CCB",VM00033,2407629,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/2250,https://deltabluecarbon.com/project-details/,,2250,VCS2250,24.796665,68.670276,24.1048007231086,67.7629322470639,https://registry.verra.org/uiapi/resource/resourceSummary/2250,Delta Blue Carbon – 1
,10,India Sundarbans Mangrove Restoration,West Bengal,India,21.9295262492279,88.4634829033588,Livelihoods Fund,Mangrove,Accredited,2015,,4675,Verra VCS,AR-AM0014,34275,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/1463,https://livelihoods.eu/portfolio/news-india/,,1463,VCS1463,21.90549,88.44651,21.9295262492279,88.4634829033588,https://registry.verra.org/uiapi/resource/resourceSummary/1463,India Sundarbans Mangrove Restoration
,11,Thor Heyerdahl Climate Park,Myanmar,Myanmar,17.067264,94.465384,Worldview International Foundation,Mangrove,Accredited,2018,,2100,Verra VCS,AR-AM0014,184006,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/1764,https://www.worldview.foundation/reforestation-2021/,,1764,VCS1764,17.067264,94.465384,,,https://registry.verra.org/uiapi/resource/resourceSummary/1764,"Reforestation and Restoration of degraded mangrove lands, sustainable livelihood and community development in Myanmar"
,12,Livelihoods Yagasu,"Aceh, Sumatra",Indonesia,4.45209090209114,98.1551240973189,Livelihoods Fund,Mangrove,Accredited,2015,,1000,Verra VCS,AR-AM0014,124706,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/1493,https://livelihoods.eu/portfolio/yagasu-indonesia/,,1493,VCS1493,4.65,97.59,4.45209090209114,98.1551240973189,https://registry.verra.org/uiapi/resource/resourceSummary/1493,"Mangrove restoration and coastal greenbelt protection in the East coast of Aceh and North Sumatra Province, Indonesia"
,13,Zhanjiang Mangrove Afforestation Project,Guangdong,China,20.9649619301219,110.193789928515,"Third Institute of Oceanography, Ministry of Natural Resources",Mangrove,Accredited,2020,,380,"Verra VCS, Verra CCB",AR-AM0014,4020,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/2343,https://www.naturalcapitalpartners.com/projects/project/mangrove-reforestation-china,,2343,VCS2343,21.014077,110.209333,20.9649619301219,110.193789928515,https://registry.verra.org/uiapi/resource/resourceSummary/2343,Zhanjiang Mangrove Afforestation Project
,14,Muskitia Pasa Klin Naka, ,Honduras,14.615583,-83.149888,Fundación Ayuda en Acción,Mangrove,Undergoing validation,,,271528,"Verra VCS, Verra CCB",VM0007,39929,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/3294,https://www.southpole.com/projects/muskitia-blue-carbon,,3294,VCS3294,14.615583,-83.149888,,,https://registry.verra.org/uiapi/resource/resourceSummary/3294,Muskitia Pâsa Klîn Nâka sa
,15,Protection of mangroves and community developmental activities ,Choco and Antioquia,Colombia,8.10530832491607,-76.9602777777778,WeAct PTY Ltd,Mangrove,Undergoing validation,,,64000,"Verra VCS, Verra CCB",VM0015,460000,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/2330,https://www.weact.com.au/our-projects/,,2330,VCS2330,8.105304,-76.960277,8.10530832491607,-76.9602777777778,https://registry.verra.org/uiapi/resource/resourceSummary/2330,Protection of mangroves and community developmental activities in the biodiversity hotspot of Colombia
,16,Mangrove restoration project with Sine Saloum and Casamance communities,Casamance,Senegal,13.5690680455209,-16.4581905728858,WeForest ASBL,Mangrove,Undergoing validation,,,7020,Verra VCS,AR-AM0014,95470,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/2834,,,2834,VCS2834,14.136044,16.656875,13.5690680455209,-16.4581905728858,https://registry.verra.org/uiapi/resource/resourceSummary/2834,"Mangrove Restoration Project with Sine Saloum and Casamance communities, Senegal"
,17,Papariko, ,Kenya,-4.55680853251424,39.4173774117698,Vlinder Austria,Mangrove,Undergoing validation,,,1500,"Verra VCS, Verra CCB",AR-AM0014,5367,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/3660,,,3660,VCS3660,-4.562099,39.434752,-4.55680853251424,39.4173774117698,https://registry.verra.org/uiapi/resource/resourceSummary/3660,Papariko - Restoration of Degraded Mangrove Areas in Kenya
"adjusted manually, location from JSON is off",18,Restoration of degraded mangroves as a climate change mitigation and adaptation strategy in Asia CPA1,Yangon and Mon,Myanmar,17.263368,97.002254,"Value Network Ventures Advisory Services Pte. Ltd., Ecoeye Co. Ltd., Worldview International Foundation, Korea Impact Carbon Corporation",Mangrove,Undergoing validation,,,2552,Verra VCS,AR-AM0014,322622,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/3333,,,3333,VCS3333,19.073463,96.671036,,,https://registry.verra.org/uiapi/resource/resourceSummary/3333,Restoration of degraded mangroves as a climate change mitigation and adaptation strategy in Asia CPA 1
,19,"Mangrove restoration project in Wenchang and Changjiang, Hainan",Hainan,China,19.6385977166415,110.52665299777,"Third Institute of Oceanography, Ministry of Natural Resources",Mangrove,Undergoing validation,,,352,"Verra VCS, Verra CCB",VM00033,4672,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/3897,,,3897,VCS3897,19.49473,108.937708,19.6385977166415,110.52665299777,https://registry.verra.org/uiapi/resource/resourceSummary/3897,"Mangrove restoration project in Wenchang and Changjiang, Hainan"
,20,Fangchenggang Mangrove afforestation project,Guangxi,China,21.6719644346086,108.337400036425,"Fangchenggang Xinggang Agricultural Development Co., Ltd",Mangrove,Undergoing validation,,,222,"Verra VCS, Verra CCB",AR-AM0014,2790,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/3868,,,3868,VCS3868,21.668995,108.345666,21.6719644346086,108.337400036425,https://registry.verra.org/uiapi/resource/resourceSummary/3868,Fangchenggang Mangrove afforestation project
,21,Padang Tikar Landscape,West Kalimantan,Indonesia,-0.785561623484645,109.463299294371,"Ambarawa Village, Batu Ampar Village, Medan Mas Village, Nipah Panjang Village, Padang Tikar Satu Village, Sungai Besar Village, Sungai Jawi Village Tanjung Harapan Village, Tasik Malaya Village, Teluk Nibung Village, Bentang Kalimantan, South Pole",Mangrove,Undergoing validation,,,58673,Verra VCS,VM0007,590557,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/3226,,,3226,VCS3226,0.831275,109.313833,-0.785561623484645,109.463299294371,https://registry.verra.org/uiapi/resource/resourceSummary/3226,Padang Tikar Landscape
,23,"Carbon sequestration in mangroves of the south-central coastal zone of the state of Sinaloa, Mexico",Sinaloa,Mexico,24.641835868259,-107.771773724784,ALLCOT,Mangrove,Undergoing validation,,,49387,Verra VCS,VM0007,3123836,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/2518,https://www.allcot.com/,,2518,VCS2518,25.3125,-108.388333,24.641835868259,-107.771773724784,https://registry.verra.org/uiapi/resource/resourceSummary/2518,"Carbon sequestration in mangroves of the south – central coastal zone of the state of Sinaloa, México"
,24,Aztlan Blue Carbon mangrove conservation project,Nayarit,Mexico,22.0127585412321,-105.508664688798,BlueMX Mangrove A.C.,Mangrove,Undergoing validation,,,45639,Verra VCS,VM0007,323590,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/2974,,,2974,VCS2974,0,0,22.0127585412321,-105.508664688798,https://registry.verra.org/uiapi/resource/resourceSummary/2974,Aztlan Blue Carbon Mangrove CONSERVATION project - Conserving the Marismas NACIONALES of Nayarit
,25,Tlawan kiwi nak chuchit,Veracruz,Mexico,18.8914807700871,-95.9802409349358,BlueMX Mangrove A.C.,Mangrove,Undergoing validation,,,4903,Verra VCS,VM0007,65946,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/3057,,,3057,VCS3057,0,0,18.8914807700871,-95.9802409349358,https://registry.verra.org/uiapi/resource/resourceSummary/3057,"Tlawan kiwi nak chuchit Blue Carbon Mangrove Conservation Project, Conserving Coastal Ecosystems in Veracruz to Support Life"
,26,Restoring mangroves in Mexico's Blue Carbon ecosystems (BlueMX),"Campeche, Nayarit, Quintana Roo, Veracruz",Mexico,18.7022220727184,-91.6366383424958,BlueMX Mangrove A.C.,Mangrove,Undergoing validation,,,32914,Verra VCS,VM00033,868302,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/2842,https://bluemx.org/,,2842,VCS2842,0,0,18.7022220727184,-91.6366383424958,https://registry.verra.org/uiapi/resource/resourceSummary/2842,Restoring Mangroves in Mexico's Blue Carbon Ecosystems
,27,U Balam moo Akalche,"Campeche,",Mexico,19.4123991659393,-91.0370898311378,BlueMX Mangrove A.C.,Mangrove,Undergoing validation,,,32425,Verra VCS,VM0007,667276,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/2975,,,2975,VCS2975,0,0,19.4123991659393,-91.0370898311378,https://registry.verra.org/uiapi/resource/resourceSummary/2975,"U' Balam'moo A'kalché ó Blue Carbon Mangrove Conservation Project, Conserving Coastal Ecosystems in Campeche to Support Life"
,30,Uh luumil Zazil-ha,Quintana Roo,Mexico,19.5444323723268,-87.5769803285263,BlueMX Mangrove A.C.,Mangrove,Undergoing validation,,,4860,Verra VCS,VM0007,1718,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/2976,,,2976,VCS2976,0,0,19.5444323723268,-87.5769803285263,https://registry.verra.org/uiapi/resource/resourceSummary/2976,"Uh lu'umil Zazil-ha Blue Carbon Mangrove Conservation Project, Conserving Coastal Ecosystems in Quintana Roo to Support Life"
,32,Virginia coast reserve seagrass restoration project,Virginia,USA,37.5517206275611,-75.6157139978749,Virginia Department of Environmental Quality,Seagrass,Undergoing validation,,,66452,Verra VCS,VM00033,,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/2360,,,2360,VCS2360,37.312711,-75.839815,37.5517206275611,-75.6157139978749,https://registry.verra.org/uiapi/resource/resourceSummary/2360,Virginia Coast Reserve Seagrass Restoration Project
,33,SWAMP - Senegal and West Africa mangrove programme,Sine Saloum,Senegal,13.8056794882228,-16.469604865027,ALLCOT,Mangrove,Undergoing validation,,,42,Verra VCS,VM0007,2547,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/2406,,,2406,VCS2406,14.134995,-16.763672,13.8056794882228,-16.469604865027,https://registry.verra.org/uiapi/resource/resourceSummary/2406,SENEGAL AND WEST AFRICA MANGROVE PROGRAMME (SWAMP)
,34,HEAMI - The Haidar El Ali mangrove initiative,Sine Saloum,Senegal,14.570555,-16.574165,ALLCOT,Mangrove,Undergoing validation,,,2000,Verra VCS, AR-AMS0003,30170,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/1760,,,1760,VCS1760,14.570555,-16.574165,,,https://registry.verra.org/uiapi/resource/resourceSummary/1760,The Haidar EL ALI Mangrove Initiative (HEAMI)
,35,Conservation and restoration of the mangrove ecosystem in the Gambia, ,Gambia,13.4644249561602,-15.6669810108335,"Government of the Gambia (Department of Parks and Wildlife Management), Orsted Nature Based Solutions",Mangrove,Undergoing validation,,,100000,Verra VCS,VM0007,300000,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/3223,,,3223,VCS3223,13.598878,-14.947733,13.4644249561602,-15.6669810108335,https://registry.verra.org/uiapi/resource/resourceSummary/3223,CONSERVATION AND RESTORATION OF THE MANGROVE ECOSYSTEM IN THE GAMBIA THROUGH THE REDD+ MECHANISM
,36,Niger Delta mangrove project, ,Nigeria,4.624538,7.633111,everi GmbH,Mangrove,Undergoing validation,,,1920,"Verra VCS, Verra CCB",AR-AM0014,79406,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/3155,,,3155,VCS3155,4.624538,7.633111,,,https://registry.verra.org/uiapi/resource/resourceSummary/3155,NIGER DELTA MANGROVE PROJECT
,39,Blue Forest & Mozambique,Sofala and Zambezia,Mozambique,-17.7979274226491,37.4094295494857,Blue Forest,Mangrove,Undergoing validation,,,183000,Verra VCS,VM0007,2965555,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/3142,,,3142,VCS3142,-19.2039,34.8624,-17.7979274226491,37.4094295494857,https://registry.verra.org/uiapi/resource/resourceSummary/3142,Blue Forest & Mozambique: Building Africa’s Largest Mangrove Restoration Project
,40,Abu Ali Island mangrove planting project,,Saudi Arabia,27.3097053361618,49.4979992692772,Saudi Aramco,Mangrove,Undergoing validation,,,1200,Verra VCS,VM00033,1627,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/3230,,,3230,VCS3230,27.346861,49.55137,27.3097053361618,49.4979992692772,https://registry.verra.org/uiapi/resource/resourceSummary/3230,Abu Ali Island Mangrove Planting Project - Eastern Province Saudi Arabia
,41,Participatory mangrove afforestation and restoration in the west coast of India,Karnataka,India,14.3844692560127,74.4115857869448,"Value Network Ventures Advisory Services Pte. Ltd., India Foundation for Humanistic Development",Mangrove,Undergoing validation,,,175,Verra VCS,AR-AM0014,14097,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/3361,,,3361,VCS3361,14.793708,74.68688,14.3844692560127,74.4115857869448,https://registry.verra.org/uiapi/resource/resourceSummary/3361,Participatory Mangrove Afforestation & Restoration in the west coast of India
,42,Developing climate resilience of coastal communities of the Sundarbans through mangrove afforestation,West Bengal,India,22.3155723891163,88.6776834497185,"Value Network Ventures Advisory Services Pte. Ltd., Sustainable Green Initiative",Mangrove,Undergoing validation,,,650,Verra VCS,AR-AM0014,93533,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/3360,,,3360,VCS3360,25.05748,88.282611,22.3155723891163,88.6776834497185,https://registry.verra.org/uiapi/resource/resourceSummary/3360,Developing climate resilience of the coastal communities of Sunderbans through Mangrove Afforestation
,43,Developing voluntary carbon market project for Sundarban Tiger reserve,West Bengal,India,22.0249558766132,88.8746525775931,Sundarban Tiger Conservation Foundation Trust,Mangrove,Undergoing validation,,,2585,Verra VCS,VM0007,57587,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/3365,,,3365,VCS3365,21.838051,88.885277,22.0249558766132,88.8746525775931,https://registry.verra.org/uiapi/resource/resourceSummary/3365,Developing Voluntary Carbon market project for Sundarban Tiger Reserve in India
,44,Mangrove restoration and sustainable development,Ayeyarwadi,Myanmar,17.291944,94.565833,Worldview International Foundation,Mangrove,Undergoing validation,,,4500,Verra VCS,AR-AM0014,403831,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/2088,https://wif.foundation/,,2088,VCS2088,17.291944,94.565833,,,https://registry.verra.org/uiapi/resource/resourceSummary/2088,Mangrove Restoration and Sustainable Development in Myanmar
,45,Restoration of degraded mangroves and sustainable development,Ayeyarwadi,Myanmar,16.966702,94.479312,Worldview International Foundation,Mangrove,Undergoing validation,,,1300,Verra VCS,AR-AM0014,77130,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/2792,,,2792,VCS2792,16.966702,94.479312,,,https://registry.verra.org/uiapi/resource/resourceSummary/2792,Restoration of Degraded Mangroves and Sustainable Development in Myanmar
,46,Hainan Lingshui mangrove Blue Carbon project,Hainan,China,18.4164472218849,110.001735128777,Lingshui County Forestry Bureau,Mangrove,Undergoing validation,,,192,Verra VCS,AR-AM0014,2527,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/2568,,,2568,VCS2568,18.430089,110.016442,18.4164472218849,110.001735128777,https://registry.verra.org/uiapi/resource/resourceSummary/2568,Hainan Lingshui Mangrove Blue Carbon Project
,47,OKI REDD+ project,South Sumatra,Indonesia,-2.565,105.6,Japan Asia Group Ltd,Mangrove,Undergoing validation,,,23500,Verra VCS,"VM0007, AM0014, AR-ACM0003",181986,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/2395,,,2395,VCS2395,-2.565,105.6,,,https://registry.verra.org/uiapi/resource/resourceSummary/2395,OKI REDD+ Project
,49,Mindanao forests for people and sustainable livelihoods,Mindanao and Bohol,Philippines,7.29419676922821,126.300126873299,Kennemer Eco Solutions Pte Ltd and BaiAni Foundation,Mangrove,Undergoing validation,,,229810,"Verra VCS, Verra CCB",VM0007,1608286,,,,,,,,,,,,,,https://registry.verra.org/app/projectDetail/VCS/3773,,,3773,VCS3773,6.952091,126.217406,7.29419676922821,126.300126873299,https://registry.verra.org/uiapi/resource/resourceSummary/3773,Mindanao Forests for People and Sustainable Livelihoods (MinFor)
added from Verra database,,,,,7.94186480005858,79.7958698928902,,,,,,,,,,,,,,,,,,,,,,,,,,,VCS3357,6.053516,80.220977,7.94186480005858,79.7958698928902,https://registry.verra.org/uiapi/resource/resourceSummary/3357,Climate Resilient & Community Driven Mangrove Afforestation Programme
added from Verra database,,,,,18.766667,-95.766667,,,,,,,,,,,,,,,,,,,,,,,,,,,VCS3674,18.766667,-95.766667,,,https://registry.verra.org/uiapi/resource/resourceSummary/3674,Veracruz Mangrove For Life Project
added from Verra database,,,,,11.1254464957993,98.6939786127298,,,,,,,,,,,,,,,,,,,,,,,,,,,VCS3730,10.977721,98.697248,11.1254464957993,98.6939786127298,https://registry.verra.org/uiapi/resource/resourceSummary/3730,Climate Action in Myanmar through a community-based Mangrove Restoration
added from Verra database,,,,,16.8619454499994,96.851955331178,,,,,,,,,,,,,,,,,,,,,,,,,,,VCS3818,16.831542,96.725775,16.8619454499994,96.851955331178,https://registry.verra.org/uiapi/resource/resourceSummary/3818,Blue Carbon Mitigation through Community Based Mangrove Restoration
